incidentid,race,injury,gender,schoolaffiliation,age
19710909TXDUL,Black,Fatal,Male,Student,Adolescent
19710924NYMCB,unknown,Fatal,Male,Student,Young Adult
19710928MNCEM,unknown,None,unknown,Student,Teen
19710929VAPEP,Black,Wounded,Female,Student,Adolescent
19710929VAPEP,White,Fatal,Male,Student,Adolescent
19710929VAPEP,Black,Wounded,Male,Student,Adolescent
19711028MDCIB,unknown,Wounded,Male,Student,Adolescent
19711029MDFOB,unknown,Wounded,Male,Student,Teen
19711029MDFRB,unknown,Wounded,Male,Student,Teen
19711029MDFRB,unknown,Wounded,Male,Student,Teen
19711103NMCAC,unknown,Wounded,Male,Police Officer/SRO,Adult
19711108OKGRT,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19711124MDEDB,unknown,Fatal,Male,Student,Adolescent
19711206CALOL,unknown,Wounded,Male,Student,Adolescent
19711206CALOL,unknown,Wounded,Male,Student,Adolescent
19711206CALOL,unknown,Wounded,Female,Student,Adolescent
19711206CALOL,unknown,Wounded,Female,Student,Adolescent
19711213MDCAB,unknown,Wounded,Male,Student,Adolescent
19720105DCPAW,unknown,Fatal,Female,Teacher,Adult
19720124OHSTS,White,Wounded,Male,Teacher,Adult
19720126MDGWB,unknown,Wounded,Male,Student,Adolescent
19720126MDHAB,unknown,Wounded,Male,Student,Adolescent
19720214ILCAC,unknown,Fatal,Male,Student,Young Adult
19720215ILKEC,unknown,None,Male,No Relation,Young Adult
19720228CAMAL,unknown,Wounded,Male,Student,Adolescent
19720313TXUNH,unknown,Wounded,Male,Student,Adolescent
19720412LAEAG,unknown,Wounded,Female,Teacher,Adult
19720504NVLIR,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19720505INDEI,unknown,Fatal,Male,Student,Adolescent
19720914TXFRH,unknown,Wounded,Male,Teacher,Adult
19720915MISAS,unknown,Wounded,Male,Student,Teen
19720915MISAS,unknown,Wounded,Male,Student,Teen
19720919TXCUH,unknown,Wounded,Female,Teacher,Adult
19720921OHTHA,White,Wounded,Female,Teacher,Adult
19721111CAJEL,unknown,Wounded,Female,Student,Adolescent
19721111CAJEL,unknown,Wounded,Female,Student,Adolescent
19721111CAJEL,unknown,Wounded,Male,Student,Adolescent
19721111CAJEL,unknown,Wounded,Male,Student,Adolescent
19721111CAJEL,unknown,Wounded,Male,Student,Adolescent
19721127MIPOP,unknown,Wounded,Female,Student,Adolescent
19721127MIPOP,unknown,Wounded,Female,Student,Adolescent
19721127MIPOP,unknown,Wounded,Male,Student,Adolescent
19721127MIPOP,unknown,Wounded,Male,Student,Adolescent
19721127MIPOP,unknown,Wounded,Male,Student,Adolescent
19721129FLMIM,unknown,Wounded,Male,Student,Adolescent
19730105NCSOS,White,Wounded,Female,Student,Teen
19730105NCSOS,White,Wounded,Female,Student,Teen
19730105NCSOS,White,Wounded,Male,Student,Teen
19730105NCSOS,White,Wounded,Male,Student,Teen
19730118CAJOL,unknown,Wounded,Male,Other Staff,Young Adult
19730118CAJOL,unknown,Wounded,Male,Other Staff,Young Adult
19730131NCCUB,unknown,Wounded,Male,Student,Teen
19730212ALBOM,unknown,Wounded,Male,Student,Adolescent
19730226VAARR,unknown,Fatal,Male,Student,Adolescent
19730226VAARR,unknown,Wounded,Female,Student,Adolescent
19730405CALOL,unknown,Wounded,Male,Student,Adolescent
19730405CALOL,unknown,Wounded,Male,Student,Adolescent
19730501OHRAY,unknown,Wounded,Female,Student,Adolescent
19730501OHRAY,unknown,Wounded,Male,Student,Adolescent
19730501OHRAY,unknown,Wounded,Male,Student,Adolescent
19730928CAWIL,unknown,Wounded,Female,Student,Adolescent
19730928CAWIL,unknown,Wounded,Male,Student,Teen
19730928CAWIL,unknown,Wounded,Male,Student,Teen
19731002ILELA,unknown,Fatal,Female,Student,Adolescent
19731019MOBES,unknown,Fatal,Male,Student,Adolescent
19731023MOSUS,unknown,Wounded,Male,Student,Young Adult
19731023OHBAB,unknown,Wounded,Male,Teacher,Adult
19731024MNCEM,unknown,Wounded,Male,Student,Adolescent
19731031MONOS,unknown,Wounded,Male,No Relation,Adolescent
19731108ILWOC,unknown,Fatal,Male,Student,Young Adult
19731109CALOL,unknown,Wounded,Female,No Relation,Adolescent
19731109CALOL,unknown,Fatal,Female,No Relation,Infant
19731206CAFRL,unknown,Wounded,Male,Student,Adolescent
19731213OHHUC,unknown,Wounded,Male,Student,Adolescent
19740117ILBAC,unknown,Wounded,Male,Security Guard,Adult
19740117ILBAC,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19740117ILBAC,unknown,Minor Injuries,Male,Teacher,Adult
19740117ILBAC,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19740122CALOL,unknown,Fatal,Male,Student,Young Adult
19740207CAJAO,unknown,Fatal,Male,No Relation,Adult
19740207CAJAO,unknown,Fatal,Male,No Relation,Adult
19740322INBRB,unknown,Fatal,Male,Teacher,Adult
19740402CTSTB,unknown,Wounded,Male,Student,Preschooler
19740402CTSTB,unknown,Wounded,Female,Teacher,Adult
19740510TNCHR,unknown,Fatal,Male,Student,Young Adult
19740519FLHIO,unknown,None,unknown,unknown,unknown
19740923CAJED,unknown,Wounded,Male,Student,Adolescent
19740925CASAL,unknown,Wounded,Male,Student,Adolescent
19741007LADEH,White,Wounded,Male,Student,Teen
19741007LADEH,White,Fatal,Male,Student,Adolescent
19741021MDDOB,unknown,Wounded,Male,Security Guard,Adult
19741118SCCAC,unknown,Wounded,Male,No Relation,Young Adult
19741121ARBOL,unknown,Fatal,Male,Student,Adolescent
19741121ARBOL,unknown,Wounded,Male,Student,Adolescent
19741125SCCAC,unknown,None,unknown,unknown,unknown
19741218CAMAL,unknown,Fatal,Male,Student,Adolescent
19741218CAMAL,unknown,Wounded,Male,Student,Adolescent
19741230NYOLO,unknown,Wounded,Male,Police Officer/SRO,Adult
19741230NYOLO,unknown,Fatal,Female,No Relation,Adult
19741230NYOLO,unknown,Minor Injuries,Male,Police Officer/SRO,Adult
19741230NYOLO,unknown,Fatal,Male,Other Staff,Adult
19741230NYOLO,unknown,Wounded,Male,Police Officer/SRO,Young Adult
19741230NYOLO,unknown,Minor Injuries,Male,Police Officer/SRO,Adult
19741230NYOLO,unknown,Wounded,Male,Police Officer/SRO,Adult
19741230NYOLO,unknown,Wounded,Male,Police Officer/SRO,Adult
19741230NYOLO,unknown,Minor Injuries,Male,Student,School Age Child
19741230NYOLO,unknown,Fatal,Male,No Relation,Adult
19741230NYOLO,unknown,Minor Injuries,Male,Police Officer/SRO,Adult
19741230NYOLO,unknown,Wounded,Male,No Relation,Child
19741230NYOLO,unknown,Wounded,Male,No Relation,Adult
19741230NYOLO,unknown,Wounded,Male,Police Officer/SRO,Adult
19750207NYBOM,unknown,None,Male,Student,Adolescent
19750224NJSTP,unknown,Wounded,Female,Teacher,Adult
19750224NJSTP,unknown,Fatal,Male,Teacher,Adult
19750312TXJOH,unknown,Wounded,Male,Student,Adolescent
19750312TXJOH,unknown,Wounded,Male,Student,Adolescent
19750318MOSUS,unknown,Fatal,Male,Student,Young Adult
19750321OHPAD,unknown,Wounded,Male,Student,Adult
19750321VAFAR,unknown,Wounded,Female,Student,School Age Child
19750515MOROS,unknown,Wounded,Male,Other Staff,Adult
19750527MIPID,unknown,Fatal,Male,Student,Adolescent
19750709ILDEC,unknown,Wounded,Female,Teacher,Adult
19750711MOCES,unknown,Wounded,Female,Student,Adolescent
19750711MOCES,unknown,Wounded,Female,Student,Young Adult
19750911OKGRO,White,Fatal,Male,Student,Adolescent
19750911OKGRO,White,Wounded,Male,Student,Teen
19750911OKGRO,unknown,Minor Injuries,Male,Student,Teen
19750911OKGRO,unknown,Minor Injuries,Male,Student,Teen
19750911OKGRO,unknown,Minor Injuries,Male,Student,Teen
19750911OKGRO,unknown,Wounded,unknown,Police Officer/SRO,Adult
19751001NMHEA,unknown,Fatal,Male,Teacher,Adult
19751024GAMUA,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19751218CAORS,unknown,Wounded,Male,Unknown,Young Adult
19760101AZCAP,unknown,Wounded,Male,Security Guard,Adult
19760123OHCOC,unknown,Wounded,Female,Other Staff,Adult
19760123OHCOC,unknown,Fatal,Male,Teacher,Adult
19760206FLESP,White,Wounded,Male,Student,Teen
19760206FLESP,White,Wounded,Male,Student,Teen
19760206FLESP,White,Wounded,Male,Student,Teen
19760206FLESP,White,Wounded,Male,Student,Teen
19760212MIMUD,unknown,Wounded,Male,Student,Teen
19760212MIMUD,unknown,Wounded,Male,Student,Teen
19760212MIMUD,unknown,Wounded,Male,Student,Teen
19760212MIMUD,unknown,Wounded,Male,Student,Teen
19760212MIMUD,unknown,Wounded,Male,Student,Teen
19760412TXODF,unknown,Fatal,Male,Student,Adolescent
19760412TXODF,unknown,Wounded,Male,Student,Adolescent
19760513MOMAS,unknown,Wounded,Male,Student,School Age Child
19760514FLPAW,unknown,Wounded,Male,Former Student,Young Adult
19760602MDMTC,unknown,None,unknown,unknown,unknown
19760920NCGUG,unknown,Wounded,Female,Bus Driver,Adult
19761110MIBUD,unknown,Fatal,Female,Teacher,Adult
19761210MOFRS,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19761210MOFRS,unknown,Wounded,Female,Teacher,Adult
19770113ILOLB,unknown,Wounded,Male,Student,Adolescent
19770209ILFEC,unknown,Wounded,Male,Student,Adolescent
19770209ILFEC,unknown,Wounded,Male,Student,Teen
19770209ILFEC,unknown,Wounded,Male,Student,Teen
19770209ILFEC,unknown,Fatal,Female,Student,Teen
19770228MOROS,unknown,Wounded,Male,Student,Adolescent
19770228MOROS,unknown,Wounded,Male,Student,Adolescent
19770228TXHOA,unknown,Wounded,Male,Student,Adolescent
19770308ILCOE,unknown,Wounded,Female,Student,Adolescent
19770308ILCOE,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19770321NYPAH,unknown,None,unknown,unknown,unknown
19770407TXWHW,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19770418TNPIN,unknown,Fatal,Male,Parent,Adult
19770517FLSTC,unknown,None,unknown,unknown,unknown
19770622ILHOC,unknown,Wounded,Male,Student,Young Adult
19770622ILHOC,unknown,Wounded,Male,Student,Young Adult
19770711COSOC,unknown,Wounded,Male,Student,Adolescent
19771129MOHAS,unknown,None,unknown,unknown,unknown
19771129MOVAS,unknown,Wounded,Male,Student,Adolescent
19771209CAPES,unknown,None,Female,Teacher,Adult
19771212FLWEW,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19771215MABLC,unknown,Wounded,Male,Student,Adolescent
19771215MABLC,unknown,Wounded,Male,Student,Young Adult
19780111KYCHH,unknown,Wounded,Male,Student,Teen
19780209WVHAS,unknown,Fatal,Male,Student,Teen
19780222MIEVL,unknown,Fatal,Male,Student,Adolescent
19780222MIEVL,unknown,Wounded,Male,Student,Adolescent
19780309CAMOS,unknown,Wounded,Male,Student,School Age Child
19780329TNGAN,White,Wounded,Male,Parent,Adult
19780414MIFOD,unknown,Wounded,Male,Student,Adolescent
19780426TXPAD,unknown,Fatal,Male,Other Staff,Adult
19780428ILRIN,unknown,Wounded,Male,Student,Adolescent
19780428ILRIN,unknown,Fatal,Male,Student,Adolescent
19780428ILRIN,unknown,Fatal,Male,Student,Adolescent
19780428ILRIN,unknown,Wounded,Male,Student,Adolescent
19780518TXMUA,unknown,Fatal,Male,Teacher,Adult
19780519PADOP,unknown,Wounded,unknown,Student,School Age Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780519PADOP,unknown,Wounded,unknown,Student,Child
19780607DEDOD,unknown,Fatal,Male,Student,Young Adult
19780610MAWEW,unknown,None,Male,Student,Adolescent
19781017ALLAL,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19781017MOUNU,unknown,Wounded,Male,Student,Teen
19781017MOUNU,unknown,Wounded,Male,Student,Teen
19781017MOUNU,unknown,Wounded,Male,Student,Teen
19781129NYPAN,unknown,Wounded,Male,Student,Adolescent
19781214CTWIN,unknown,Fatal,Male,Teacher,Adult
19790129CAGRS,unknown,Fatal,Male,Other Staff,Adult
19790129CAGRS,unknown,Fatal,Male,Other Staff,Adult
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,Male,Police Officer/SRO,Adult
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790129CAGRS,unknown,Wounded,unknown,Student,Child
19790314FLMCM,unknown,Wounded,Male,Teacher,Adult
19790328CALOL,unknown,Wounded,Female,Teacher,Adult
19790416WIWIM,unknown,Wounded,Male,Former Student,Adolescent
19790425PAMAH,unknown,Wounded,Male,Teacher,Adult
19790426TXAZA,unknown,Fatal,Male,Student,Adolescent
19790614OHNEN,unknown,Fatal,Male,unknown,Adolescent
19790926LACAN,unknown,Wounded,Male,Student,Adolescent
19790926LACAN,unknown,Wounded,Male,Student,Adolescent
19790928MACHC,Black,Wounded,Male,Student,Adolescent
19791023MOOFS,unknown,Wounded,Male,Student,Adolescent
19791023MOOFS,unknown,Wounded,Male,Student,Young Adult
19791105INWAI,unknown,Wounded,Male,Student,Adolescent
19791130TXUNL,unknown,Wounded,Female,Student,School Age Child
19791203MDEAB,unknown,Wounded,Male,Student,Adolescent
19791203MDEAB,unknown,Wounded,Male,Student,Teen
19791203MDEAB,unknown,Wounded,Male,Student,Teen
19791221MOBLS,unknown,Wounded,Male,Student,Adolescent
19800107ARSTS,White,Fatal,Male,Student,Young Adult
19800129VALAW,unknown,None,Male,Student,Adolescent
19800201DCLAW,unknown,Wounded,Male,Student,School Age Child
19800207TXVAL,unknown,Wounded,Male,Student,School Age Child
19800211INARI,unknown,Wounded,Male,Student,Adolescent
19800215MSHUM,Black,Fatal,Female,Teacher,Adult
19800320TXJLD,unknown,Fatal,Female,Teacher,Adult
19800331MDFRB,Black,Wounded,Male,Student,Adolescent
19800417VACAC,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19800417VACAC,unknown,Fatal,Female,Other Staff,Adult
19800530NYCLB,unknown,None,Male,Student,Adolescent
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800902CAWHL,unknown,Wounded,Male,Student,Teen
19800908FLFOJ,unknown,Wounded,Male,Teacher,Adult
19800910DCSPW,unknown,Fatal,Male,Student,Adolescent
19800911ALJOM,unknown,Fatal,Female,Teacher,Adult
19800926CTBRB,unknown,Wounded,Male,Student,Adolescent
19800926CTBRB,unknown,Wounded,Male,Student,Adolescent
19801013ALCET,unknown,Wounded,Male,Student,Adolescent
19801031ALHUH,unknown,Wounded,Male,Student,Adolescent
19801117TXEAF,Black,Wounded,Male,Student,Adolescent
19801212ALPAB,unknown,Wounded,Female,Student,Adolescent
19801212OHLOL,unknown,Wounded,Male,Other Staff,Adult
19810121OHWIB,unknown,Wounded,Male,Teacher,Adult
19810122MDFRB,unknown,None,Male,Student,Young Adult
19810210ARLIL,unknown,Wounded,Male,Student,Adolescent
19810210CAMAL,unknown,Fatal,Male,Student,Adolescent
19810303INMAI,unknown,Wounded,Male,Student,Adolescent
19810328FLDIF,unknown,Fatal,Male,Student,Young Adult
19810402OHALC,unknown,Wounded,Male,Student,Adolescent
19810407MSPOP,unknown,Wounded,Female,Student,Teen
19810515LANEN,unknown,Wounded,Female,Teacher,Adult
19810901PAWIP,unknown,Wounded,Male,Gang Member,Adult
19810901PAWIP,unknown,Wounded,Male,Gang Member,Adult
19810901PAWIP,unknown,Wounded,Male,Gang Member,Adult
19810904NMHOS,unknown,Wounded,Male,Student,Adolescent
19810904NMHOS,unknown,Wounded,Male,Student,Adolescent
19810908FLSTW,unknown,None,Male,Student,School Age Child
19810913MDABA,unknown,Fatal,Male,Unknown,Young Adult
19811013CTHAH,unknown,Wounded,Male,Student,Teen
19811209NYGEB,unknown,Fatal,Male,Student,Young Adult
19811216TXUNH,unknown,Wounded,Male,Student,Young Adult
19811223NYJAB,unknown,Fatal,Male,Student,Adolescent
19820205TNHAM,unknown,Fatal,Male,Former Teacher,Adult
19820208MADOD,Black,Wounded,Female,Student,Adolescent
19820209LAJON,unknown,Fatal,Male,Student,unknown
19820315ORSPS,unknown,None,Male,Student,Adolescent
19820317OHLOL,unknown,None,Male,Student,Adolescent
19820319NVVAL,unknown,Fatal,Male,Teacher,Adult
19820319NVVAL,unknown,Wounded,Male,Student,Adolescent
19820319NVVAL,unknown,Wounded,Male,Student,Adolescent
19820407CODEL,unknown,Fatal,Male,Student,Adolescent
19820415MDFOB,unknown,Wounded,Male,Teacher,Adult
19820429GARUE,unknown,None,Unknown,Student,Teen
19820430FLANA,unknown,Wounded,Male,Student,Teen
19820527NVGAL,unknown,Wounded,Female,Student,Adolescent
19820527NVGAL,unknown,Wounded,Female,Student,Adolescent
19820910VALAB,unknown,None,Female,Student,Teen
19820915ARSOP,unknown,None,Male,Student,School Age Child
19821101NYELE,unknown,Wounded,Male,Student,Adolescent
19821108MICOD,unknown,Wounded,Male,Student,Adolescent
19821108MICOD,unknown,Wounded,Male,Student,Adolescent
19821112MSWIJ,unknown,Fatal,Female,Student,Adolescent
19821206ALHUH,unknown,None,Male,Student,Adolescent
19821220MIFID,Black,Wounded,Male,Student,Adolescent
19830118TXJOH,unknown,Fatal,Female,Student,Adult
19830120MOPAB,unknown,Fatal,Male,Student,Adolescent
19830120MOPAB,unknown,Wounded,Male,Student,Adolescent
19830128MDWIB,unknown,None,Male,Student,Teen
19830130TXWEC,unknown,Fatal,Male,unknown,Adolescent
19830131FLDED,unknown,None,Female,Student,Teen
19830201TNRIM,unknown,None,Male,Student,Adolescent
19830202NMALA,unknown,Wounded,Female,Student,Adolescent
19830331ILSAC,unknown,None,Female,Teacher,Young Adult
19830421MOBES,unknown,Wounded,Male,Student,Teen
19830516NYBRN,unknown,Wounded,Male,Teacher,Adult
19830516NYBRN,unknown,Wounded,Male,Student,Adolescent
19830516TXLAD,unknown,Fatal,Female,Other Staff,Adult
19830518FLNOM,unknown,Wounded,Male,Student,Teen
19830523OHMAM,Black,Wounded,Male,Student,Adolescent
19830526PAGRJ,unknown,None,Male,Student,Adolescent
19830912CAMAC,unknown,Wounded,Female,Student,Teen
19830912CAMAC,unknown,Wounded,Female,Student,Teen
19830912CAMAC,unknown,Wounded,Male,Student,Teen
19830912CAMAC,unknown,Wounded,Male,Student,Teen
19830912CAMAC,unknown,Wounded,Male,Student,Teen
19830912MIHED,unknown,Fatal,Male,Student,Teen
19830921MDWAB,unknown,None,Male,Student,Teen
19830930TXTET,unknown,Wounded,Male,Student,Adolescent
19830930TXTET,unknown,Wounded,Male,Student,Adolescent
19830930TXTET,unknown,Wounded,Male,Student,Adolescent
19831007CACOL,unknown,Wounded,Female,Student,Adolescent
19831022MDCAB,unknown,Fatal,Male,Unknown,Young Adult
19831108MIHIH,Black,Fatal,Male,Student,Adolescent
19831117ILJAC,unknown,Wounded,Male,Gang Member,Adolescent
19831117ILJAC,Hispanic,Fatal,Male,Gang Member,Young Adult
19831118MDHAB,unknown,Fatal,Male,Student,Adolescent
19831202INCRC,unknown,Wounded,Male,Student,Teen
19831216ILBOR,unknown,Wounded,Female,Teacher,Adult
19840105MDLAB,unknown,Wounded,Male,Student,Adolescent
19840206KYCEL,unknown,Wounded,Male,Student,Teen
19840221TXSHH,unknown,Wounded,Male,Teacher,Adult
19840224CA49L,unknown,Wounded,Male,Other Staff,Adult
19840224CA49L,unknown,Wounded,Female,Student,School Age Child
19840224CA49L,unknown,Wounded,Female,Student,School Age Child
19840224CA49L,Hispanic,Fatal,Male,No Relation,Young Adult
19840224CA49L,unknown,Minor Injuries,Female,Student,School Age Child
19840224CA49L,unknown,Wounded,Female,Student,School Age Child
19840224CA49L,unknown,Minor Injuries,Male,Student,School Age Child
19840224CA49L,unknown,Minor Injuries,Male,Student,School Age Child
19840224CA49L,unknown,Wounded,Female,Student,School Age Child
19840224CA49L,unknown,Minor Injuries,Male,Student,School Age Child
19840224CA49L,unknown,Wounded,Female,Student,School Age Child
19840224CA49L,unknown,Fatal,Female,Student,School Age Child
19840224CA49L,unknown,Wounded,Male,Student,School Age Child
19840224CA49L,unknown,Wounded,unknown,Student,School Age Child
19840405LACLC,unknown,Wounded,Male,Student,Teen
19840420MIPRD,unknown,Fatal,Male,Student,Teen
19840426NCROW,unknown,None,Male,Student,School Age Child
19840515MTCMG,unknown,None,Male,Student,Young Adult
19840517IASOP,unknown,Fatal,Female,Student,Teen
19840517TXBOH,unknown,Wounded,Female,Student,Adolescent
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840518CANON,unknown,Wounded,unknown,Student,Teen
19840522OHCLC,unknown,Wounded,Male,Student,Adolescent
19840710MIMUD,unknown,Wounded,Male,Student,Teen
19840831LABOS,unknown,Wounded,Male,Student,Teen
19840928TXMIH,unknown,Wounded,Male,Student,Child
19840928TXRIN,unknown,Wounded,Male,Student,Teen
19841021PAWYE,unknown,Wounded,Female,Student,Adolescent
19841022MICED,unknown,Wounded,Male,Student,Adolescent
19841022MICED,unknown,Wounded,Female,Student,Adolescent
19841024MISOD,unknown,Wounded,Male,Student,Adolescent
19841024OHWEC,unknown,Fatal,Male,Bus Driver,Adult
19841030SCPEP,unknown,Wounded,Male,Teacher,Adult
19841030SCPEP,unknown,Wounded,Male,Teacher,Adult
19841031LAEAG,Black,Fatal,Male,Student,Adolescent
19841109CTWIN,unknown,Wounded,Male,Student,Adolescent
19841126MDMIR,unknown,Wounded,Male,Student,Adolescent
19841207MOEDS,unknown,None,unknown,unknown,unknown
19850118TXARA,White,None,Male,Student,Adolescent
19850121KSGOG,unknown,Wounded,Male,Student,Adolescent
19850121KSGOG,unknown,Wounded,Female,Teacher,Adult
19850121KSGOG,unknown,Wounded,Male,Teacher,Adult
19850121KSGOG,unknown,Fatal,Male,Teacher,Adult
19850126MASTB,unknown,Wounded,unknown,Student,Teen
19850126MASTB,unknown,Wounded,unknown,Student,Teen
19850126MASTB,unknown,Wounded,unknown,Student,Teen
19850126MASTB,unknown,Wounded,unknown,Student,Teen
19850205CTAIH,unknown,Wounded,Male,Student,Adolescent
19850416TXMAA,unknown,None,Male,Student,Adolescent
19850516FLPAB,unknown,None,Female,Student,Adolescent
19850724TXHIH,unknown,Wounded,Male,Student,Young Adult
19850904VAEAR,unknown,Wounded,Female,Student,Adolescent
19850909TXWHH,unknown,Wounded,Male,Teacher,Adult
19850920TXLAC,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19850920TXLAC,unknown,Wounded,Male,Student,Adolescent
19850925OHTRT,unknown,Wounded,Male,Student,Adolescent
19850925OHTRT,unknown,Wounded,Male,Student,Adolescent
19851008MDLAB,unknown,Fatal,Male,Student,Adolescent
19851018MIMUD,unknown,Wounded,Male,Student,Adolescent
19851018MIMUD,unknown,Wounded,Female,Student,Adolescent
19851018MIMUD,unknown,Wounded,Female,Student,Adolescent
19851018MIMUD,unknown,Wounded,unknown,Student,Teen
19851018MIMUD,unknown,Wounded,unknown,Student,Teen
19851018MIMUD,unknown,Wounded,unknown,Student,Teen
19851018MIMUD,unknown,Wounded,unknown,Student,Teen
19851022OHSOG,unknown,Wounded,Female,Student,Adolescent
19851126WASPS,unknown,Fatal,Male,Student,Adolescent
19851126WASPS,unknown,Fatal,Male,Student,Adolescent
19851127ALCHB,unknown,Wounded,Male,Student,Teen
19851203NHCOC,unknown,None,Male,Student,Teen
19851209PAARP,unknown,None,unknown,unknown,unknown
19851210CTPOP,unknown,Fatal,Male,Other Staff,Adult
19851210CTPOP,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19851210CTPOP,unknown,Wounded,Female,Other Staff,Adult
19860109NCNOD,unknown,Fatal,Female,Student,Adolescent
19860117CAVAL,unknown,Fatal,Male,Student,Adolescent
19860129MDLAB,unknown,Fatal,Male,Student,Adolescent
